episode,global_steps,return,length,elapsed_sec
95,3197,4.9002921867851015,24,1752.49
96,3215,3.6878428786139423,18,1761.84
97,3274,4.938978034818704,59,1792.88
98,3296,3.774722251195058,22,1803.38
99,3309,3.617272616240296,13,1809.46
100,3322,3.592713396666755,13,1815.75
101,3338,3.5221285002116764,16,1822.62
102,3392,4.911946060393535,54,1844.78
103,3426,4.202669146186334,34,1863.24
104,3447,4.462661446898566,21,1873.84
105,3468,3.255339862582713,21,1885.56
106,3490,3.5773423141930234,22,1895.23
107,3517,4.8277568460369205,27,1912.31
108,3558,3.5417849320352603,41,1929.53
109,3658,2.3104131304193154,100,1959.16
110,3686,4.255242300679987,28,1976.96
111,3700,3.898801353853375,14,1983.92
112,3714,3.600048406895051,14,1989.67
113,3777,4.227809811574014,63,2016.49
114,3790,3.6914184814196194,13,2022.36
115,3815,4.993662644074357,25,2035.77
116,3838,5.037419590104987,23,2049.48
117,3861,4.972957329872042,23,2063.42
118,3878,3.7719251065640567,17,2071.63
119,3903,4.932329433396615,25,2085.78
120,3926,4.428375248029027,23,2098.43
121,4026,1.3696414664610173,100,2149.27
122,4059,4.52795130243787,33,2169.36
123,4099,4.315004706178184,40,2195.23
124,4117,3.480681340972361,18,2203.02
125,4139,4.505460743899193,22,2213.57
126,4159,4.283527869769845,20,2224.55
127,4186,4.3207076541095075,27,2239.66
128,4229,4.800300594896312,43,2269.03
129,4254,3.092350594477268,25,2280.76
130,4275,3.695844186309511,21,2291.46
131,4293,3.4948816588171154,18,2300.2
132,4320,4.8764708423877,27,2313.23
133,4344,4.403890349076517,24,2325.81
134,4362,4.676943041439175,18,2336.93
135,4382,4.173202084103202,20,2349.53
136,4413,4.421486605737296,31,2365.28
137,4443,4.499517958073025,30,2379.85
138,4460,4.671037054885065,17,2389.99
139,4477,3.8081268018546823,17,2398.01
140,4504,4.331781985928668,27,2411.34
141,4530,4.906047428135658,26,2426.67
142,4554,4.426444959180346,24,2440.14
143,4654,2.2335873533262127,100,2457.49
144,4684,4.806381652561997,30,2474.45
145,4784,2.0338056236085538,100,2495.43
146,4803,4.381188258417719,19,2506.15
147,4903,3.3710628348132383,100,2550.79
148,4932,4.261294456543294,29,2565.42
149,4949,3.9198923827949663,17,2573.18
150,4972,3.3616355586669915,23,2582.38
151,4994,4.164882019157755,22,2591.9
152,5016,2.534703306662533,22,2604.84
153,5042,4.427267236859974,26,2621.49
154,5054,3.779944809106935,12,2627.01
155,5089,3.7623134442503687,35,2646.61
156,5109,4.374133684794142,20,2658.11
157,5122,3.737033595976505,13,2663.77
158,5147,5.094146086921552,25,2678.46
159,5247,2.845187703432766,100,2716.62
160,5260,3.761978400176488,13,2722.39
161,5285,4.568660089136576,25,2736.02
162,5325,5.139576955008014,40,2755.88
163,5353,4.299988129146976,28,2770.53
164,5370,4.4867402761115915,17,2779.29
165,5386,3.9266770363050227,16,2786.46
166,5406,4.382983053119634,20,2797.7
167,5426,3.47237759191439,20,2807.62
168,5466,4.49053526306987,40,2820.53
169,5488,3.714303601519014,22,2831.01
170,5505,3.5943707548495167,17,2838.02
171,5529,4.408258728330057,24,2852.73
172,5553,4.207648768050753,24,2864.08
173,5572,4.340472832165985,19,2878.06
174,5672,2.1029744589748054,100,2918.13
175,5698,5.089803456172861,26,2935.85
176,5728,4.8811501538745565,30,2950.92
177,5823,2.89060875695149,95,3003.17
178,5845,3.657104433455816,22,3013.44
179,5861,3.6070136648800784,16,3019.63
180,5888,4.969928906838799,27,3034.71
181,5920,4.248656937264384,32,3050.23
182,5938,4.729230349175092,18,3061.01
183,5990,4.030104510982395,52,3091.04
184,6007,3.850524692853293,17,3098.93
185,6020,3.714202962945759,13,3105.39
186,6038,3.503472995953936,18,3114.41
187,6073,3.995799296801967,35,3131.55
188,6096,4.5843976073327255,23,3144.69
189,6115,3.8242229711823486,19,3153.45
190,6137,4.311745595036197,22,3167.29
191,6159,3.3138899479170205,22,3177.7
192,6184,4.172677831988018,25,3189.04
193,6202,3.539761632487155,18,3200.62
194,6216,3.6837167978028686,14,3206.54
195,6232,3.906869834123671,16,3214.33
196,6265,3.7875647905584158,33,3231.7
197,6295,4.352175784112226,30,3245.82
198,6311,3.6067374008027255,16,3252.8
199,6328,3.566139621064073,17,3260.38
200,6363,4.4301582112998,35,3273.73
201,6388,4.179938722810716,25,3287.85
202,6418,4.171979885422962,30,3305.56
203,6435,3.5923364959534894,17,3312.18
204,6459,5.160464797069735,24,3327.41
205,6479,3.795438832566247,20,3336.77
206,6505,4.421698575816409,26,3350.97
207,6521,4.511251077109417,16,3359.13
208,6539,4.42477866816183,18,3368.8
209,6560,3.334737411175884,21,3380.26
210,6584,4.963860277717812,24,3395.7
211,6602,3.846718877625376,18,3404.58
212,6621,3.5248822537795297,19,3414.36
213,6707,4.5894832280154825,86,3450.08
214,6727,3.593595507991795,20,3459.51
215,6748,4.393167220316382,21,3472.25
216,6774,4.418375516673707,26,3485.52
217,6796,4.094973799655391,22,3497.32
218,6817,4.455521148388479,21,3508.18
219,6836,3.8100888607130456,19,3516.82
220,6865,3.9065617112861637,29,3531.9
221,6891,4.99162900350455,26,3546.25
222,6905,3.6846731297722726,14,3552.24
223,6921,3.906874272116066,16,3559.5
224,6954,4.178086948521766,33,3579.44
225,7014,3.573995076215339,60,3595.1
226,7055,4.33975601062756,41,3616.49
227,7083,3.765203609730416,28,3633.19
228,7104,4.25560991260466,21,3644.16
229,7137,4.4301480350374565,33,3662.89
230,7237,3.258469821081629,100,3698.94
231,7275,3.1866103310597036,38,3715.24
232,7296,3.341366316429317,21,3723.79
233,7314,3.605304224589075,18,3732.6
234,7414,1.200297058223711,100,3819.48
235,7439,5.144123653169437,25,3835.03
236,7523,4.485801487962297,84,3883.27
237,7552,3.3399148597722377,29,3896.41
238,7591,4.175775415188656,39,3915.83
239,7618,3.47802393163788,27,3929.82
240,7634,3.975845832023663,16,3939.18
241,7656,3.7464531898715485,22,3951.52
242,7756,1.2238294841024882,100,4004.79
243,7781,4.211157175481484,25,4018.29
244,7820,4.710485732870733,39,4045.7
